id,Nome ,Nome Científico,Cor,País
1,"Kingfisher pied",Ceryle rudis,Fuscia,Indonesia
2,"Squirrel pine",Tamiasciurus hudsonicus,Orange,Peru
3,"Rat desert kangaroo",Dipodomys deserti,Yellow,Sweden
4,"Dragon netted rock",Ctenophorus ornatus,Green,Panama
5,Fat-tailed dunnart,Smithopsis crassicaudata,Crimson,Sri Lanka
6,"Duck comb",Sarkidornis melanotos,Blue,Comoros
7,"Squirrel antelope ground",Ammospermophilus nelsoni,Khaki,Afghanistan
8,Common waterbuck,Kobus defassa,Violet,Portugal
9,Eleven-banded armadillo (unidentified),Cabassous sp.,Teal,Ukraine
10,"Sparrow house",Passer domesticus,Yellow,Canada
11,Herring gull,unavailable,Maroon,China
12,Striated heron,Butorides striatus,Violet,China
13,Eastern diamondback rattlesnake,Crotalus adamanteus,Pink,China
14,"Badger honey",Mellivora capensis,Teal,Sweden
15,King vulture,Sarcorhamphus papa,Fuscia,Canada
16,Common shelduck,Tadorna tadorna,Turquoise,China
17,"Gull dusky",Larus fuliginosus,Green,South Korea
18,Burmese black mountain tortoise,Manouria emys,Aquamarine,China
19,"Elephant african",Loxodonta africana,Violet,Sweden
20,"Falcon peregrine",Falco peregrinus,Khaki,Indonesia
21,Yellow-throated sandgrouse,Pterocles gutturalis,Crimson,Indonesia
22,"Rhea greater",Rhea americana,Orange,China
23,Red-billed buffalo weaver,Bubalornis niger,Violet,Portugal
24,"Lion australian sea",Neophoca cinerea,Aquamarine,Mali
25,Bengal vulture,Gyps bengalensis,Yellow,Poland
26,Richardson's ground squirrel,Spermophilus richardsonii,Maroon,Indonesia
27,"Glider squirrel",Petaurus norfolcensis,Aquamarine,China
28,Bohor reedbuck,Redunca redunca,Puce,Peru
29,"Waxbill blue",Uraeginthus angolensis,Blue,Pakistan
30,Mexican beaded lizard,Heloderma horridum,Pink,South Africa
